#description: jpscore (0.8.4)
#agents: 55
#count: 0
#framerate: 16.00
#geometry: geo_2_8.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse

ID	FR	X	Y	Z	A	B	ANGLE	COLOR	
1	0	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	0	-0.70	2.15	0.00	0.17	0.17	-81.87	0	
3	0	-1.75	2.50	0.00	0.17	0.17	-66.80	0	
4	0	1.75	4.60	0.00	0.17	0.17	-105.00	0	
5	0	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	0	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	0	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	0	0.00	2.15	0.00	0.17	0.17	-90.00	0	
9	0	1.75	6.00	0.00	0.17	0.17	-102.09	0	
10	0	0.35	3.20	0.00	0.17	0.17	-91.36	0	
11	0	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	0	-2.45	6.70	0.00	0.17	0.17	-74.05	0	
13	0	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	0	-0.35	5.30	0.00	0.17	0.17	-89.09	0	
15	0	-1.75	4.95	0.00	0.17	0.17	-75.85	0	
16	0	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	0	1.40	6.00	0.00	0.17	0.17	-99.33	0	
18	0	0.00	2.50	0.00	0.17	0.17	-90.00	0	
19	0	1.40	4.60	0.00	0.17	0.17	-101.60	0	
20	0	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	0	-2.45	0.40	0.00	0.17	0.17	-32.47	0	
22	0	2.10	2.85	0.00	0.17	0.17	-115.67	0	
23	0	-1.40	6.35	0.00	0.17	0.17	-81.11	0	
24	0	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	0	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	0	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	0	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	0	-1.40	4.60	0.00	0.17	0.17	-78.40	0	
29	0	0.00	0.75	0.00	0.17	0.17	-90.00	0	
30	0	-1.05	1.80	0.00	0.17	0.17	-74.05	0	
31	0	-2.10	5.65	0.00	0.17	0.17	-74.45	0	
32	0	1.05	5.65	0.00	0.17	0.17	-96.86	0	
33	0	2.10	6.70	0.00	0.17	0.17	-103.51	0	
34	0	2.10	3.90	0.00	0.17	0.17	-110.68	0	
35	0	-2.10	2.50	0.00	0.17	0.17	-62.14	0	
36	0	0.35	3.90	0.00	0.17	0.17	-91.17	0	
37	0	-2.10	0.40	0.00	0.17	0.17	-37.12	0	
38	0	0.70	2.15	0.00	0.17	0.17	-98.13	0	
39	0	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	0	-0.35	1.45	0.00	0.17	0.17	-87.66	0	
41	0	1.40	1.80	0.00	0.17	0.17	-112.33	0	
42	0	2.10	5.30	0.00	0.17	0.17	-106.36	0	
43	0	2.45	3.20	0.00	0.17	0.17	-117.65	0	
44	0	0.70	2.50	0.00	0.17	0.17	-97.33	0	
45	0	2.45	5.65	0.00	0.17	0.17	-108.31	0	
46	0	0.00	2.85	0.00	0.17	0.17	-90.00	0	
47	0	-2.10	6.70	0.00	0.17	0.17	-76.49	0	
48	0	1.05	6.35	0.00	0.17	0.17	-96.21	0	
49	0	-2.45	5.30	0.00	0.17	0.17	-70.75	0	
50	0	-1.05	4.25	0.00	0.17	0.17	-81.34	0	
51	0	-1.05	0.40	0.00	0.17	0.17	-60.26	0	
52	0	0.00	4.25	0.00	0.17	0.17	-90.00	0	
53	0	0.35	5.65	0.00	0.17	0.17	-90.86	0	
54	0	2.10	1.10	0.00	0.17	0.17	-131.38	0	
55	0	-1.05	4.95	0.00	0.17	0.17	-82.34	0	
1	1	0.70	6.70	0.00	0.17	0.17	-93.34	0	
2	1	-0.66	2.17	0.00	0.17	0.17	-81.87	255	
3	1	-1.71	2.49	0.00	0.17	0.17	-66.80	255	
4	1	1.76	4.56	0.00	0.17	0.17	-105.00	255	
5	1	1.05	6.70	0.00	0.17	0.17	-95.93	0	
6	1	0.35	6.35	0.00	0.17	0.17	-90.78	0	
7	1	0.00	6.35	0.00	0.17	0.17	-90.00	0	
8	1	0.03	2.12	0.00	0.17	0.17	-90.00	255	
9	1	1.75	6.00	0.00	0.17	0.17	-102.09	0	
10	1	0.35	3.16	0.00	0.17	0.17	-91.36	255	
11	1	0.35	6.70	0.00	0.17	0.17	-90.74	0	
12	1	-2.45	6.70	0.00	0.17	0.17	-74.05	0	
13	1	-1.05	5.65	0.00	0.17	0.17	-83.14	0	
14	1	-0.36	5.26	0.00	0.17	0.17	-89.09	255	
15	1	-1.76	4.91	0.00	0.17	0.17	-75.85	255	
16	1	-0.70	5.65	0.00	0.17	0.17	-86.13	0	
17	1	1.40	6.00	0.00	0.17	0.17	-99.33	0	
18	1	0.00	2.50	0.00	0.17	0.17	-90.00	0	
19	1	1.40	4.60	0.00	0.17	0.17	-101.60	0	
20	1	0.70	4.95	0.00	0.17	0.17	-94.33	0	
21	1	-2.45	0.40	0.00	0.17	0.17	-32.47	0	
22	1	2.07	2.82	0.00	0.17	0.17	-115.67	255	
23	1	-1.41	6.31	0.00	0.17	0.17	-81.11	255	
24	1	-1.05	3.90	0.00	0.17	0.17	-80.73	0	
25	1	0.35	4.95	0.00	0.17	0.17	-90.96	0	
26	1	-0.70	4.25	0.00	0.17	0.17	-85.10	0	
27	1	-0.35	4.25	0.00	0.17	0.17	-88.91	0	
28	1	-1.38	4.56	0.00	0.17	0.17	-78.40	255	
29	1	-0.00	0.71	0.00	0.17	0.17	-90.00	255	
30	1	-1.07	1.77	0.00	0.17	0.17	-74.05	255	
31	1	-2.07	5.68	0.00	0.17	0.17	-74.45	255	
32	1	1.08	5.63	0.00	0.17	0.17	-96.86	255	
33	1	2.14	6.69	0.00	0.17	0.17	-103.51	254	
34	1	2.06	3.89	0.00	0.17	0.17	-110.68	255	
35	1	-2.10	2.50	0.00	0.17	0.17	-62.14	0	
36	1	0.37	3.86	0.00	0.17	0.17	-91.17	255	
37	1	-2.06	0.39	0.00	0.17	0.17	-37.12	255	
38	1	0.66	2.13	0.00	0.17	0.17	-98.13	255	
39	1	2.45	6.00	0.00	0.17	0.17	-107.45	0	
40	1	-0.38	1.42	0.00	0.17	0.17	-87.66	255	
41	1	1.37	1.77	0.00	0.17	0.17	-112.33	255	
42	1	2.09	5.26	0.00	0.17	0.17	-106.36	255	
43	1	2.42	3.17	0.00	0.17	0.17	-117.65	255	
44	1	0.70	2.50	0.00	0.17	0.17	-97.33	0	
